        1        1.0000000000        0.0649048567        0.0321900943
        2        0.5957914600        0.0500000000        0.1074102738
        3        0.9999714233        0.2345588607        0.0026016939
        4        0.9999209910        0.1238445319        0.0101798752
        5        0.9999472818        0.0500000000        0.0396517521
        6        0.8517831732        0.1610143255        0.0043513492
        7        0.9998200210        0.2135495875        0.0025906501
        8        0.9999409328        0.0622762297        0.0134967158
        9        0.9999946897        0.0603452215        0.0353933267
       10        0.9983851671        0.0506802824        0.0257100703
       11        0.9962723116        1.9053722162        0.0000178877
       12        0.9997267170        0.0500000000        0.1228579886
       13        0.9469291656        0.0500000000        0.0765047877
       14        0.9990601859        0.0821929994        0.0209961538
       15        0.9992569267        0.2431954687        0.0019843333
       16        0.9998658273        0.1867903297        0.0024407049
       17        0.9921830421        0.1283975295        0.0076858664
       18        0.9992256976        0.1255487881        0.0075547641
       19        0.9954253324        0.0708441375        0.0185032142
       20        0.9987478636        0.0736026076        0.0224370297
       21        0.0033659301        0.0500000000        0.0568035279
       22        0.9988022311        0.1709217132        0.0043267957
       23        0.9992340661        0.3281934101        0.0008632412
       24        0.9994538714        0.0779688316        0.0118083104
       25        0.9855895245        0.0500000000        0.0651221191
       26        0.9977340219        0.0556397748        0.0395434718
       27        0.9999698188        0.0500000000        0.1341301191
       28        0.9899356314        0.0500000000        0.0519106887
       29        0.9985445424        0.0564863738        0.0382222114
       30        0.9930182522        0.0500000000        0.1408137627
       31        0.9919133765        0.1279426232        0.0064748529
       32        0.9850237209        0.1062380084        0.0120059137
       33        0.9978829819        0.0782986530        0.0244367791
       34        0.9919992220        0.0624056453        0.0171717162
       35        0.8916204878        0.1187644886        0.0086420788
       36        0.9554716539        0.1635165568        0.0039465645
       37        0.9998745721        0.0732342794        0.0258615829
       38        0.8945079375        0.4761297922        0.0001741994
       39        0.9762142972        0.0636900971        0.0347805105
       40        0.9567703040        0.1274193160        0.0067382283
       41        0.9965488287        0.0662754878        0.0189165168
       42        0.9996666565        0.0932483253        0.0121036312
       43        0.8399734346        0.1023739477        0.0100255994
       44        0.9770299091        0.1376596287        0.0072295169
       45        0.9908471114        0.0909558306        0.0106621051
       46        0.9973175746        0.1922164105        0.0018462500
       47        0.9897290649        0.1510945288        0.0033405434
       48        0.9986103194        0.0755197755        0.0278187904
       49        0.9377617634        0.1682009971        0.0046880361
       50        0.9765846097        0.0500000000        0.0449486664
       51        0.6659949089        0.0810947887        0.0152071370
       52        0.5544629252        0.2761625761        0.0016108395
       53        0.9974757029        0.1519412037        0.0054676399
       54        0.9963478076        0.2441577035        0.0018076050
       55        0.9992147767        0.0519220634        0.0338881862
       56        0.8826984917        0.0500000000        0.0327477275
       57        0.9965578816        0.0928839762        0.0162193638
       58        0.5393898997        0.0538108559        0.0230977551
       59        0.9698092005        0.0842281732        0.0197268702
       60        0.9999600258        0.0963313842        0.0153482363
       61        0.9976301984        0.1547369843        0.0040288646
       62        0.9993150612        0.0500000000        0.0535197760
       63        0.9953515772        0.1234725589        0.0066149232
       64        0.9980644756        0.0684916334        0.0430049866
       65        0.9849612692        0.4018726964        0.0006624365
       66        0.9987426497        0.8851786820        0.0001078935
       67        0.9968019476        0.3071692289        0.0010715866
       68        0.9554412483        0.0506950042        0.0516391458
       69        0.9893938020        0.0500000000        0.0661186780
       70        0.8278911111        0.1682893763        0.0052201156
       71        0.9268980762        0.0987308628        0.0093836636
       72        0.9777173713        0.1500860465        0.0055059049
       73        0.9754828752        0.0549761127        0.0397871098
       74        0.9803100067        0.0503503191        0.0763704670
       75        0.0385773946        0.0500000000        0.0748605047
       76        0.2350973148        0.0500000000        0.0790284541
       77        0.7829299111        0.0500000000        0.0898791747
       78        0.9998748627        0.0500000000        0.2233707231
       79        0.8696152732        0.0678658948        0.0344781103
